Net secretion,SRS011061,SRS012902,SRS011134,SRS054956
EX_isobut[fe],295.1443068,239.9651596,108.00692308271178,62.8987152
EX_isocapr[fe],158.43521436828675,155.79731704418504,91.42422910052032,62.12706958807078
EX_isoval[fe],79.21760718414335,77.89865852209236,45.71211455026017,31.06353479403539
EX_k[fe],0.005439050777553689,0.003552215454135421,0.002375925566184378,0.0011958673624832272
EX_kdo[fe],0.0,0.0,0.0,0.0
EX_kesto[fe],0.0,0.0,0.0,0.0
EX_kestopt[fe],0.0,0.0,0.0,0.0
EX_kestottr[fe],0.0,0.0,0.0,0.0
EX_lac_D[fe],295.14430680000004,239.96515959999996,180.7676128,63.20386039999999
EX_lac_L[fe],0.0,0.0,0.0,0.0
EX_lanost[fe],0.0,0.0,0.0,0.0
EX_lcts[fe],0.0,0.0,0.0,0.0
EX_leu_L[fe],219.74556499502066,215.69686640222235,90.2485337449234,59.91109500773926
EX_levan1000[fe],0.0,0.0,0.0,0.0
EX_levanb[fe],0.0,0.0,0.0,0.0
EX_levanttr[fe],0.0,0.0,0.0,0.0
EX_levantttr[fe],0.0,0.0,0.0,0.0
EX_lichn[fe],0.0,0.0,0.0,0.0
EX_lmn2[fe],0.0,0.0,0.0,0.0
EX_lmn30[fe],0.0,0.0,0.0,0.0
EX_lys_L[fe],231.20600766296957,240.49584084877637,89.4631117410982,59.92364905349091
EX_mal_L[fe],15.7088636,8.4490224,6.065076400000001,0.0
EX_malt[fe],17.703151466666665,0.18015013333333307,9.016207022222222,0.08459795555555516
EX_malttr[fe],0.0,0.0,0.0,0.0
EX_man[fe],0.0,0.0,0.0,0.0
EX_mannan[fe],0.0,0.0,0.0,0.0
EX_mantr[fe],0.0,0.0,0.0,0.0
EX_melib[fe],0.0,0.0,0.0,0.0
EX_meoh[fe],2.0,1.0,1.9550840258215532,1.0707651564292955
EX_met_D[fe],0.0,0.0,0.0,0.0
EX_met_L[fe],12.387775653349076,26.893471078747652,38.31801953631074,50.787127466600175
EX_metala[fe],0.0,0.0,0.0,0.0
EX_metsox_R_L[fe],0.0,0.0,0.0,0.0
EX_metsox_S_L[fe],0.0,0.0,0.0,0.0
EX_mg2[fe],0.005439050777566123,0.003552215454138974,0.00237592556619326,0.0011958673624743454
EX_mn2[fe],0.005439050777566595,0.0035522154541413886,0.002375925566193954,0.0011958673624728744
EX_mops[fe],0.0,0.0,0.0,0.0
